No.,Source,Destination,Protocol,Length,Info,Arrival Time,Potential Drop
30294,Malicious IP 43,Non-Malicious IP 1,TCP,58,59608  >  50075 [SYN] Seq=0 Win=65535 Len=0,4/27/2020 11:39,No
42758,Malicious IP 44,Non-Malicious IP 2,TCP,58,52628  >  50070 [SYN] Seq=0 Win=65535 Len=0,4/27/2020 11:44,No
86218,Malicious IP 20,Non-Malicious IP 3,TCP,62,60165  >  1250 [SYN] Seq=0 Win=65535 Len=0 MSS=1460,4/27/2020 12:02,No
88563,Malicious IP 9,Non-Malicious IP 4,TCP,62,57072  >  139 [SYN] Seq=0 Win=65535 Len=0 MSS=1460,4/27/2020 12:03,No
93320,Malicious IP 27,Non-Malicious IP 5,UDP,47,53159  >  1434 Len=1,4/27/2020 12:05,No
94375,Malicious IP 19,Non-Malicious IP 6,TCP,62,50637  >  9200 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 12:06,No
101666,Malicious IP 40,Non-Malicious IP 7,TCP,62,53649  >  7547 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 12:09,No
104826,Malicious IP 33,Non-Malicious IP 8,TCP,62,54772  >  990 [SYN] Seq=0 Win=65535 Len=0 MSS=1460,4/27/2020 12:10,No
105080,Malicious IP 42,Non-Malicious IP 9,TCP,58,15091  >  23 [SYN] Seq=0 Win=10467 Len=0,4/27/2020 12:10,No
106111,Malicious IP 20,Non-Malicious IP 10,TCP,62,62878  >  2161 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 12:11,No
106249,Malicious IP 34,Non-Malicious IP 11,TCP,62,61718  >  8081 [SYN] Seq=0 Win=65535 Len=0 MSS=1460,4/27/2020 12:11,No
107900,Malicious IP 17,Non-Malicious IP 12,SNMP,86,get-next-request 1.3.6.1.2.1,4/27/2020 12:11,No
109599,Malicious IP 40,Non-Malicious IP 13,TCP,62,62176  >  3000 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 12:12,No
118007,Malicious IP 35,Non-Malicious IP 14,TCP,62,63506  >  873 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 12:15,No
120623,Malicious IP 3,Non-Malicious IP 15,TCP,62,50398  >  143 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 12:16,No
121420,Malicious IP 39,Non-Malicious IP 16,TCP,62,56835  >  5984 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 12:17,No
122167,Malicious IP 39,Non-Malicious IP 17,TCP,62,56835  >  5984 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 12:17,No
122450,Malicious IP 44,Non-Malicious IP 18,TCP,58,56681  >  9200 [SYN] Seq=0 Win=65535 Len=0,4/27/2020 12:17,Yes
123195,Malicious IP 5,Non-Malicious IP 19,TCP,62,52900  >  83 [SYN] Seq=0 Win=65535 Len=0 MSS=1460,4/27/2020 12:17,No
124858,Malicious IP 18,Non-Malicious IP 20,TCP,62,51983  >  8088 [SYN] Seq=0 Win=65535 Len=0 MSS=1460,4/27/2020 12:18,No
125191,Malicious IP 17,Non-Malicious IP 21,TCP,62,52123  >  995 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 12:18,No
125895,Malicious IP 43,Non-Malicious IP 22,TCP,58,58679  >  9200 [SYN] Seq=0 Win=65535 Len=0,4/27/2020 12:18,Yes
125910,Malicious IP 18,Non-Malicious IP 23,TCP,62,51983  >  8088 [SYN] Seq=0 Win=65535 Len=0 MSS=1460,4/27/2020 12:18,No
127044,Malicious IP 21,Non-Malicious IP 24,TCP,62,57579  >  8081 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 12:19,No
129493,Malicious IP 25,Non-Malicious IP 25,TCP,62,59491  >  888 [SYN] Seq=0 Win=65535 Len=0 MSS=1460,4/27/2020 12:20,No
131139,Malicious IP 13,Non-Malicious IP 26,TCP,62,55892  >  9200 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 12:21,No
132342,Malicious IP 25,Non-Malicious IP 27,TCP,62,59491  >  888 [SYN] Seq=0 Win=65535 Len=0 MSS=1460,4/27/2020 12:21,No
132639,Malicious IP 5,Non-Malicious IP 28,TCP,62,34247  >  8333 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 12:21,No
134144,Malicious IP 13,Non-Malicious IP 29,TCP,62,55892  >  9200 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 12:22,No
135400,Malicious IP 17,Non-Malicious IP 30,TCP,62,57022  >  7443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460,4/27/2020 12:22,No
136224,Malicious IP 3,Non-Malicious IP 31,TCP,62,54669  >  1521 [SYN] Seq=0 Win=1024 Len=0 MSS=1460,4/27/2020 12:23,No
